obs_datetime,filename,species,accuracy
2017-10-08T18:57:29Z,ECC_20171008_185729_461.wav,Nycnoc,0.98
2017-10-08T18:57:40Z,ECC_20171008_185740_976.wav,Nycnoc,0.99
2017-10-08T18:57:44Z,ECC_20171008_185744_968.wav,Nycnoc,0.88
2017-10-08T18:57:46Z,ECC_20171008_185746_532.wav,Nycnoc,0.95
2017-10-08T18:57:55Z,ECC_20171008_185755_628.wav,Nycnoc,0.99
2017-10-08T18:58:00Z,ECC_20171008_185800_628.wav,Nycnoc,0.96
2017-10-08T18:58:05Z,ECC_20171008_185805_383.wav,Nycnoc,0.99
2017-10-08T18:58:10Z,ECC_20171008_185810_383.wav,Nycnoc,0.97
2017-10-08T18:58:13Z,ECC_20171008_185813_753.wav,Nycnoc,0.99
2017-10-08T18:58:19Z,ECC_20171008_185819_857.wav,Nycnoc,0.99
2017-10-08T18:58:28Z,ECC_20171008_185828_355.wav,Nycnoc,0.99
2017-10-08T18:58:34Z,ECC_20171008_185834_124.wav,Nycnoc,0.91
2017-10-08T18:58:43Z,ECC_20171008_185843_061.wav,Nycnoc,0.99
2017-10-08T18:58:48Z,ECC_20171008_185848_061.wav,Nycnoc,0.95
2017-10-08T18:58:56Z,ECC_20171008_185856_459.wav,Nycnoc,0.96
2017-10-08T18:59:01Z,ECC_20171008_185901_599.wav,Nycnoc,0.95
2017-10-08T18:59:04Z,ECC_20171008_185904_584.wav,Nycnoc,0.95
2017-10-08T18:59:10Z,ECC_20171008_185910_277.wav,Nycnoc,0.96
2017-10-08T18:59:14Z,ECC_20171008_185914_411.wav,Nycnoc,0.84
2017-10-08T18:59:19Z,ECC_20171008_185919_263.wav,Nycnoc,0.99
2017-10-08T18:59:24Z,ECC_20171008_185924_263.wav,Nycnoc,0.98
2017-10-08T18:59:30Z,ECC_20171008_185930_004.wav,Nycnoc,0.99
2017-10-08T18:59:35Z,ECC_20171008_185935_004.wav,Nycnoc,0.95
2017-10-08T18:59:38Z,ECC_20171008_185938_012.wav,Nycnoc,0.74
2017-10-08T18:59:39Z,ECC_20171008_185939_180.wav,Nycnoc,0.91
2017-10-08T18:59:42Z,ECC_20171008_185942_832.wav,Nycnoc,0.98
2017-10-08T18:59:47Z,ECC_20171008_185947_075.wav,Nycnoc,0.99
2017-10-08T18:59:59Z,ECC_20171008_185959_412.wav,Nycnoc,0.77
2017-10-08T19:00:02Z,ECC_20171008_190002_817.wav,Nycnoc,0.92
2017-10-08T19:00:04Z,ECC_20171008_190004_033.wav,Nycnoc,0.97
2017-10-08T19:00:12Z,ECC_20171008_190012_543.wav,Nycnoc,0.94
2017-10-08T19:00:17Z,ECC_20171008_190017_543.wav,Nycnoc,0.99
2017-10-08T19:00:23Z,ECC_20171008_190023_456.wav,Nycnoc,0.99
2017-10-08T19:00:28Z,ECC_20171008_190028_456.wav,Nycnoc,0.98
2017-10-08T19:00:30Z,ECC_20171008_190030_409.wav,Nycnoc,0.98
2017-10-08T19:00:35Z,ECC_20171008_190035_460.wav,Nycnoc,0.98
2017-10-08T19:00:38Z,ECC_20171008_190038_535.wav,Nycnoc,0.99
2017-10-08T19:00:47Z,ECC_20171008_190047_521.wav,Nycnoc,0.99
2017-10-08T19:00:52Z,ECC_20171008_190052_521.wav,Nycnoc,0.99
2017-10-08T19:00:59Z,ECC_20171008_190059_653.wav,Nycnoc,0.99
2017-10-08T19:01:04Z,ECC_20171008_190104_653.wav,Nycnoc,0.92
2017-10-08T19:01:07Z,ECC_20171008_190107_712.wav,Nycnoc,0.56
2017-10-08T19:01:09Z,ECC_20171008_190109_048.wav,Nycnoc,0.98
2017-10-08T19:01:12Z,ECC_20171008_190112_781.wav,Nycnoc,0.71
2017-10-08T19:01:14Z,ECC_20171008_190114_048.wav,Nycnoc,0.99
2017-10-08T19:01:20Z,ECC_20171008_190120_253.wav,Nycnoc,0.86
2017-10-08T19:01:22Z,ECC_20171008_190122_493.wav,Nycnoc,0.99
2017-10-08T19:01:32Z,ECC_20171008_190132_760.wav,Nycnoc,0.99
2017-10-08T19:01:49Z,ECC_20171008_190149_459.wav,Nycnoc,0.99
2017-10-08T19:01:52Z,ECC_20171008_190152_280.wav,Nycnoc,0.98
2017-10-08T19:02:02Z,ECC_20171008_190202_592.wav,Nycnoc,0.98
2017-10-08T19:02:10Z,ECC_20171008_190210_900.wav,Nycnoc,0.96
2017-10-08T19:02:16Z,ECC_20171008_190216_285.wav,Nycnoc,0.98
