INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_194204.wac,1798.001333,2018-10-09,19:42:04,19,2018-10-09,07:42:04,7,,,,,,,,,,,,,1,,,,,,dtO2GmcYME47YyJ/zLZrlA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_201204.wac,1798.001333,2018-10-09,20:12:04,20,2018-10-09,08:12:04,8,,,,,,,,,,,,,1,,,,,,QaCaUSgLADauMIcVMDFckA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_211204.wac,1798.001333,2018-10-09,21:12:04,21,2018-10-09,09:12:04,9,,,,,,,,,,,,,1,,,,,,UM8KKyyGFXFs51cYQdqF2w==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_204204.wac,1798.001333,2018-10-09,20:42:04,20,2018-10-09,08:42:04,8,,,,,,,,,,,,,1,,,,,,iodfgIGcFEkVGrJZHVMbhg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_214204.wac,1798.001333,2018-10-09,21:42:04,21,2018-10-09,09:42:04,9,,,,,,,,,,,,,1,,,,,,pj2j0sqXggy5LHBrzgQ4dg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_221204.wac,1798.001333,2018-10-09,22:12:04,22,2018-10-09,10:12:04,10,,,,,,,,,,,,,1,,,,,,KP8QGv4NILRem9RLEb01zA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_224204.wac,1798.001333,2018-10-09,22:42:04,22,2018-10-09,10:42:04,10,,,,,,,,,,,,,1,,,,,,FtmP4eS1u9bWUzOsUiOHQg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_231204.wac,1798.001333,2018-10-09,23:12:04,23,2018-10-09,11:12:04,11,,,,,,,,,,,,,1,,,,,,l9oq8TNXcmwZOqO6qZ/hTA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181009_234204.wac,1798.001333,2018-10-09,23:42:04,23,2018-10-09,11:42:04,11,,,,,,,,,,,,,1,,,,,,NoG9JH70MhTdH6Kwkj49Kw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_001204.wac,1798.001333,2018-10-10,00:12:04,0,2018-10-09,12:12:04,12,,,,,,,,,,,,,1,,,,,,fETCB/TR5kz/E68tbSMGJQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_004204.wac,1798.001333,2018-10-10,00:42:04,0,2018-10-09,12:42:04,12,,,,,,,,,,,,,1,,,,,,u/8DY7Am8mlm5phX5e/e2w==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_011204.wac,1798.001333,2018-10-10,01:12:04,1,2018-10-09,13:12:04,13,,,,,,,,,,,,,1,,,,,,4Q+QmBwR+PdtG2zm66fvrg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_014204.wac,1798.001333,2018-10-10,01:42:04,1,2018-10-09,13:42:04,13,,,,,,,,,,,,,1,,,,,,Mjxy+SCf9X6XMM3wbqYK3w==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_021204.wac,1798.001333,2018-10-10,02:12:04,2,2018-10-09,14:12:04,14,,,,,,,,,,,,,1,,,,,,4BYaxQoGSCeKukikSFJbOQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_024204.wac,1798.001333,2018-10-10,02:42:04,2,2018-10-09,14:42:04,14,,,,,,,,,,,,,1,,,,,,5hPRBWn8aaVDQmgMH2+SCA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_031204.wac,1798.001333,2018-10-10,03:12:04,3,2018-10-09,15:12:04,15,,,,,,,,,,,,,1,,,,,,sThgCi2D0S8Ja4X8X6t22w==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_041204.wac,1798.001333,2018-10-10,04:12:04,4,2018-10-09,16:12:04,16,,,,,,,,,,,,,1,,,,,,F5NK6LWZD5anZkbmYOC+sw==
