"filename","obs_datetime","species_auto","conf_intvl","sucess","species_man","validator","validator_comments"
"SR2_20160909_010746_000.wav",2016-09-09 01:07:46,"Myonat",8,FALSE,"-","-","-"
"SR2_20160127_200305_849.wav",2016-01-27 20:03:05,"Myonat",8,FALSE,"-","-","-"
"SR2_20160319_214629_104.wav",2016-03-19 21:46:29,"Myonat",8,FALSE,"-","-","-"
"SR2_20151024_030148_699.wav",2015-10-24 03:01:48,"Myonat",8,FALSE,"-","-","-"
"SR2_20160518_013828_577.wav",2016-05-18 01:38:28,"Myonat",8,FALSE,"-","-","-"
"SR2_20171123_173452_000.wav",2017-11-23 17:34:52,"Myonat",8,FALSE,"-","-","-"
"SR2_20160205_215426_760.wav",2016-02-05 21:54:26,"Myonat",9,FALSE,"-","-","-"
"SR2_20171122_044001_000.wav",2017-11-22 04:40:01,"Myonat",9,FALSE,"-","-","-"
"SR2_20160520_235836_521.wav",2016-05-20 23:58:36,"Myonat",9,FALSE,"-","-","-"
"SR2_20160406_195934_017.wav",2016-04-06 19:59:34,"Myonat",9,FALSE,"-","-","-"
"SR2_20160726_031019_861.wav",2016-07-26 03:10:19,"Myonat",9,FALSE,"-","-","-"
"SR2_20151013_010234_428.wav",2015-10-13 01:02:34,"Myonat",9,FALSE,"-","-","-"
"SR2_20160125_192416_632.wav",2016-01-25 19:24:16,"Myonat",9,FALSE,"-","-","-"
"SR2_20160205_223959_185.wav",2016-02-05 22:39:59,"Myonat",9,FALSE,"-","-","-"
"SR2_20160324_022819_645.wav",2016-03-24 02:28:19,"Myonat",9,FALSE,"-","-","-"
"SR2_20151021_042750_155.wav",2015-10-21 04:27:50,"Myonat",9,FALSE,"-","-","-"
"SR2_20151127_192922_600.wav",2015-11-27 19:29:22,"Myonat",9,FALSE,"-","-","-"
"SR2_20151222_183909_051.wav",2015-12-22 18:39:09,"Myonat",9,FALSE,"-","-","-"
"SR2_20171016_042031_000.wav",2017-10-16 04:20:31,"Myonat",9,FALSE,"-","-","-"
"SR2_20160205_223753_624.wav",2016-02-05 22:37:53,"Myonat",9,FALSE,"-","-","-"
"SR2_20160221_222438_228.wav",2016-02-21 22:24:38,"Myonat",9,FALSE,"-","-","-"
"SR2_20160205_215552_945.wav",2016-02-05 21:55:52,"Myonat",9,FALSE,"-","-","-"
"SR2_20151013_013607_939.wav",2015-10-13 01:36:07,"Myonat",9,FALSE,"-","-","-"
"SR2_20171101_000930_000.wav",2017-11-01 00:09:30,"Myonat",9,FALSE,"-","-","-"
"SR2_20161107_190243_000.wav",2016-11-07 19:02:43,"Myonat",9,FALSE,"-","-","-"
"SR2_20160301_231430_693.wav",2016-03-01 23:14:30,"Myonat",9,FALSE,"-","-","-"
"SR2_20160807_222102_999.wav",2016-08-07 22:21:02,"Myonat",9,FALSE,"-","-","-"
"SR2_20160628_212850_792.wav",2016-06-28 21:28:50,"Myonat",9,FALSE,"-","-","-"
"SR2_20161029_221636_000.wav",2016-10-29 22:16:36,"Myonat",9,FALSE,"-","-","-"
"SR2_20160514_003100_953.wav",2016-05-14 00:31:00,"Myonat",9,FALSE,"-","-","-"
"SR2_20151127_180354_288.wav",2015-11-27 18:03:54,"Myonat",9,FALSE,"-","-","-"
"SR2_20160407_195052_235.wav",2016-04-07 19:50:52,"Myonat",10,FALSE,"-","-","-"
"SR2_20160504_001619_387.wav",2016-05-04 00:16:19,"Myonat",10,FALSE,"-","-","-"
"SR2_20180720_232958_000.wav",2018-07-20 23:29:58,"Myonat",10,FALSE,"-","-","-"
"SR2_20160521_015542_671.wav",2016-05-21 01:55:42,"Myonat",10,FALSE,"-","-","-"
