Group.1,Aposyl,Barbar,bird,chirp,Chobru,Condor,Confus,criq,Eptser,Homsap,Inssp5,Inssp6,Inssp7,Lamsp.,Leppun,mamm,Metbra,Micagr,Micmin,Mussp,Myoalc,Myobec,Myobra,Myodau,Myomys,Myonat,noise,Nyclei,Nycnoc,Omovir,Pelrid,Phafal,Phogri,Pipnat,Pippip,Pippyg,Plaalb,Pleaur,Ratnor,Rhifer,Rhihip,Roeroe,Tetvir,FreqM,FreqP,FreqC,Tstart,Tend,NbCris,DurMed,Dur90,Ampm50,Ampm90,AmpSMd,DiffME,SR,Order,Ind,SpMaxF2,Version
SR2_20160428_225329_349.wav,0.038,0.032,0.058,0.008,0.004,0.048,0.076,0,0.038,0.014,0.022,0.008,0.01,0.154,0.224,0.02,0.018,0.004,0,0.006,0.022,0.016,0.034,0.088,0.052,0.062,0.606,0.032,0.02,0.002,0.002,0.026,0.12,0.044,0.062,0.064,0.104,0.064,0.014,0.012,0.036,0.064,0.106,38,37.5,36,0,1,18,0,1,46.6,136.5,18,39.3,192000,N1,0.606,noise,5
SR2_20160428_225425_028.wav,0.026,0.042,0.068,0.004,0.004,0.06,0.056,0.002,0.084,0.02,0.018,0.022,0.008,0.098,0.15,0.018,0.014,0.002,0,0.006,0.012,0.012,0.028,0.094,0.032,0.062,0.666,0.032,0.028,0.004,0,0.016,0.176,0.06,0.074,0.032,0.092,0.036,0.004,0.01,0.072,0.03,0.108,32,34.5,29.2,0,1.1,9,0,1,36.9,106.4,15,34.1,192000,N1,0.666,noise,5
SR2_20160428_225444_328.wav,0.008,0.052,0.074,0.002,0.002,0.058,0.066,0,0.028,0.012,0.024,0.008,0.018,0.096,0.216,0.016,0.02,0.002,0.002,0.008,0.026,0.022,0.028,0.07,0.062,0.048,0.67,0.02,0.03,0.002,0,0.016,0.094,0.038,0.152,0.278,0.084,0.038,0.006,0.018,0.044,0.024,0.094,39,40.5,40.5,0,1.1,12,1,1,43.9,126,20,40.9,192000,N1,0.67,noise,5
SR2_20160428_225458_565.wav,0.02,0.02,0.076,0.002,0.006,0.024,0.046,0,0.048,0.016,0.014,0.006,0.01,0.102,0.266,0.02,0.01,0.002,0,0.002,0.006,0.016,0.022,0.096,0.03,0.07,0.606,0.036,0.054,0.006,0.002,0.016,0.124,0.032,0.056,0.06,0.084,0.036,0.008,0.01,0.028,0.022,0.14,34,33.4,14.6,0,0.9,8,1,2,35.9,328.2,15,25.9,192000,N1,0.606,noise,5
SR2_20160428_225503_767.wav,0.02,0.048,0.054,0.006,0,0.07,0.076,0.002,0.044,0.02,0.018,0.014,0.016,0.084,0.144,0.02,0.016,0.004,0.002,0.002,0.018,0.02,0.028,0.13,0.056,0.102,0.422,0.052,0.028,0.002,0,0.016,0.196,0.056,0.072,0.05,0.126,0.066,0.004,0.02,0.03,0.032,0.138,37,37.5,35.2,0,1.1,12,0,1,31.9,49.8,12,26,192000,N1,0.422,noise,5
SR2_20160428_225606_885.wav,0.024,0.044,0.06,0.006,0.002,0.062,0.136,0,0.048,0.01,0.016,0.022,0.018,0.22,0.184,0.034,0.024,0.004,0,0.004,0.024,0.02,0.044,0.088,0.042,0.108,0.692,0.032,0.034,0.002,0.002,0.034,0.098,0.072,0.082,0.086,0.096,0.03,0.012,0.016,0.1,0.068,0.138,40,39,35.2,0,1,22,1,2,35.2,76.7,14,27.8,192000,N1,0.692,noise,5
SR2_20160428_225700_560.wav,0.018,0.048,0.038,0.004,0.004,0.062,0.124,0.002,0.04,0.014,0.018,0.026,0.018,0.188,0.148,0.02,0.016,0.002,0,0.004,0.014,0.016,0.034,0.128,0.05,0.088,0.71,0.05,0.044,0.002,0,0.016,0.27,0.074,0.06,0.048,0.12,0.04,0.004,0.016,0.052,0.088,0.166,37,36,35.2,0,1.1,30,0,1,38,88.8,15,32.8,192000,N1,0.71,noise,5
SR2_20160428_225738_128.wav,0.014,0.034,0.04,0.006,0.006,0.098,0.14,0,0.04,0.016,0.016,0.01,0.02,0.152,0.148,0.032,0.024,0.002,0.002,0.008,0.014,0.028,0.024,0.092,0.042,0.11,0.558,0.048,0.016,0.002,0.002,0.02,0.158,0.06,0.096,0.05,0.204,0.054,0.006,0.008,0.044,0.09,0.11,39,38.6,15.8,0,0.9,20,1,2,30.5,77.6,12,15.2,192000,N1,0.558,noise,5
SR2_20160428_225742_063.wav,0.024,0.046,0.054,0.008,0.002,0.068,0.172,0,0.042,0.008,0.014,0.03,0.034,0.112,0.264,0.014,0.028,0.002,0.002,0.004,0.012,0.014,0.03,0.132,0.042,0.092,0.708,0.062,0.018,0,0,0.016,0.082,0.07,0.11,0.04,0.206,0.06,0.006,0.016,0.128,0.054,0.12,38,36.8,36.8,0,1.1,21,0,1,30.9,82.3,13,24.1,192000,N1,0.708,noise,5
SR2_20160428_225826_735.wav,0.01,0.02,0.06,0.004,0.002,0.02,0.054,0,0.026,0.02,0.016,0.008,0.006,0.122,0.208,0.012,0.014,0.002,0,0.012,0.014,0.008,0.028,0.108,0.036,0.03,0.668,0.026,0.012,0,0,0.01,0.076,0.032,0.064,0.038,0.066,0.032,0.004,0.012,0.016,0.022,0.09,39,26.6,23.2,0,1,6,0,2,53.5,144.7,21,49.2,192000,N1,0.668,noise,5
